Time,C1_Voltage,L1_Current,VDC1_Voltage Difference
0,2.1277084490017E-08,0.021276595,1
0.1,0.000807045628981318,0.048421036,1
0.2,0.00234689286404037,0.076250347,1
0.3,0.00457795092800564,0.103066539,1
0.4,0.00746091929788136,0.128356941,1
0.5,0.0109554062585792,0.15200985,1
0.6,0.0150210210185083,0.174047146,1
0.7,0.0196184467124314,0.194533246,1
0.8,0.0247099920141175,0.213544204,1
0.9,0.0302597956824553,0.231157314,1
1,0.0362338585797285,0.2474477,1
1.1,0.0426000009342257,0.262487283,1
1.2,0.0493277908330952,0.276344547,1
1.3,0.0563884637415576,0.289084577,1
1.4,0.0637548410756237,0.300769182,1
1.5,0.0714012509010313,0.311457043,1
1.6,0.0793034518324205,0.321203859,1
1.7,0.0874385604263726,0.330062497,1
1.8,0.095784982066862,0.338083127,1
1.9,0.104322345235197,0.345313357,1
2,0.113031439021855,0.351798364,1
2.1,0.121894153729778,0.357581007,1
2.2,0.130893424420582,0.362701947,1
2.3,0.140013177260422,0.367199757,1
2.4,0.149238278528519,0.371111019,1
2.5,0.158554486157803,0.374470432,1
2.6,0.16794840368341,0.377310899,1
2.7,0.177407436480825,0.379663617,1
2.8,0.186919750181213,0.381558166,1
2.9,0.196474231156997,0.383022585,1
3,0.206060448975968,0.38408345,1
3.1,0.215668620727162,0.384765949,1
3.2,0.225289577126521,0.385093949,1
3.3,0.234914730314804,0.385090063,1
3.4,0.244536043264536,0.384775713,1
3.5,0.254146000716834,0.384171188,1
3.6,0.26373758157283,0.383295702,1
3.7,0.273304232668095,0.382167449,1
3.8,0.282839843861974,0.38080365,1
3.9,0.292338724377071,0.379220607,1
4,0.301795580327301,0.377433747,1
4.1,0.311205493375929,0.375457664,1
4.2,0.320563900467895,0.373306165,1
4.3,0.329866574583461,0.370992305,1
4.4,0.339109606462775,0.36852843,1
4.5,0.34828938725346,0.36592621,1
4.6,0.357402592035654,0.363196671,1
4.7,0.366446164181163,0.360350233,1
4.8,0.375417300505525,0.357396737,1
4.9,0.384313437173795,0.354345474,1
5,0.393132236322772,0.351205216,1
5.1,0.401871573364237,0.34798424,1
5.2,0.410529524935495,0.344690353,1
5.3,0.419104357465162,0.34133092,1
5.4,0.42759451632373,0.337912881,1
5.5,0.435998615529917,0.334442775,1
5.6,0.444315427985239,0.330926763,1
5.7,0.452543876210605,0.327370644,1
5.8,0.460683023559995,0.323779876,1
5.9,0.468732065887539,0.320159593,1
6,0.476690323645443,0.316514619,1
6.1,0.484557234391355,0.31284949,1
6.2,0.492332345684766,0.309168463,1
6.3,0.500015308353096,0.305475534,1
6.4,0.507605870109024,0.301774452,1
6.5,0.515103869501557,0.298068728,1
6.6,0.52250923018417,0.294361653,1
6.7,0.529821955484182,0.290656304,1
6.8,0.53704212325832,0.28695556,1
6.9,0.544169881020138,0.28326211,1
7,0.551205441325685,0.279578463,1
7.1,0.558149077404479,0.275906959,1
7.2,0.565001119023486,0.272249776,1
7.3,0.571761948572393,0.268608941,1
7.4,0.57843199735906,0.264986336,1
7.5,0.585011742104578,0.261383709,1
7.6,0.591501701627874,0.257802676,1
7.7,0.597902433710309,0.254244734,1
7.8,0.60421453213118,0.250711264,1
7.9,0.610438623865494,0.247203536,1
8,0.616575366435796,0.24372272,1
8.1,0.62262544541025,0.240269887,1
8.2,0.628589572039557,0.236846018,1
8.3,0.634468481025642,0.233452007,1
8.4,0.640262928415432,0.230088664,1
8.5,0.64597368961332,0.226756724,1
8.6,0.651601557506288,0.22345685,1
8.7,0.657147340695917,0.220189634,1
8.8,0.662611861831809,0.216955604,1
8.9,0.667995956041235,0.21375523,1
9,0.673300469450049,0.21058892,1
9.1,0.678526257790191,0.207457032,1
9.2,0.683674185089295,0.204359871,1
9.3,0.688745122438175,0.201297695,1
9.4,0.693739946832148,0.198270717,1
9.5,0.698659540082376,0.195279107,1
9.6,0.703504787793567,0.192322998,1
9.7,0.708276578404601,0.189402482,1
9.8,0.712975802288776,0.186517621,1
9.9,0.71760335091056,0.18366844,1
10,0.72216011603588,0.180854935,1
10.1,0.726646988993139,0.178077075,1
10.2,0.731064859982265,0.1753348,1
10.3,0.73541461742927,0.172628027,1
10.4,0.739697147383891,0.169956648,1
10.5,0.743913332958023,0.167320535,1
10.6,0.748064053802757,0.164719539,1
10.7,0.75215018562197,0.162153492,1
10.8,0.756172599720482,0.15962221,1
10.9,0.760132162584927,0.15712549,1
11,0.764029735495555,0.154663117,1
11.1,0.767866174167295,0.152234862,1
11.2,0.771642328418462,0.149840482,1
11.3,0.775359041865614,0.147479722,1
11.4,0.779017151643096,0.145152318,1
11.5,0.782617488145916,0.142857995,1
11.6,0.786160874794655,0.140596469,1
11.7,0.78964812782117,0.138367449,1
11.8,0.793080056073936,0.136170635,1
11.9,0.7964574608419,0.134005721,1
12,0.799781135695801,0.131872396,1
12.1,0.80305186634597,0.129770342,1
12.2,0.806270430515631,0.127699237,1
12.3,0.80943759782884,0.125658755,1
12.4,0.81255412971218,0.123648567,1
12.5,0.815620779309419,0.121668338,1
12.6,0.818638291408357,0.119717734,1
12.7,0.821607402379137,0.117796416,1
12.8,0.824528840123328,0.115904045,1
12.9,0.82740332403313,0.11404028,1
13,0.830231564960069,0.112204777,1
13.1,0.833014265192618,0.110397195,1
13.2,0.835752118442155,0.10861719,1
13.3,0.838445809836763,0.106864419,1
13.4,0.841096015922342,0.105138537,1
13.5,0.843703404670584,0.103439203,1
13.6,0.846268635493348,0.101766074,1
13.7,0.84879235926301,0.10011881,1
13.8,0.851275218338399,0.098497069,1
13.9,0.853717846595921,0.096900514,1
14,0.856120869465517,0.095328807,1
14.1,0.858484903971126,0.093781613,1
14.2,0.860810558775309,0.092258598,1
14.3,0.863098434227742,0.090759431,1
